n,dream,source_filename,date,pca1,pca2,q_pca1,q_pca2
051-2,"#051-2 Real life: My friends and I just bought an eight-track recorder so that the band I'm in could record some songs. Dream: I get home from school one day and these two kids, kids that I know I've seen at Suffolk but don't really know or talk to, are down in my basement. They are playing with the new eight-track recorder. I was worried that they were going to break it. I went upstairs for something and when I came downstairs one of these kids told me he had to use my bathroom. For some reason all the lights were out and my basement seemed distorted. When we finally found the bathroom after some difficulty, I went into the bathroom and, this is disgusting, but I vomited through my nose. Then the dream ended.",college-m.tsv,,0.20185266,-0.20166609,-0.10788767,-0.03034524
051-3,"#051-3 My friends and I went into a cave and dug up some sweet potatoes and regular potatoes, and we threw some of them at a cat but they landed on a washing machine that was across the street in a laundromat. Then we went to a woman's house.(The woman was in my science lab last year in real life. I had asked her out but she said no.) We went into her basement, my friends and I, and turned on the TV. Home Improvement was on, which is the only show I'll watch on occasion. But I wasn't paying attention to the show all the time. I was wondering how I was going to ask her out again. Then the dream ended.",college-m.tsv,,0.25279015,-0.18223229,0.01919906,-0.08392264
051-4,"#051-4 I have to bring up a recurring dream because it has great significance to the dream I had this week: dream #5. It always starts the same way. I walk down the stairs in my house and out the front door. I walk into the street and I always turn left. I lift my arms up to be perpendicular to my body and wait. Soon a big wind comes by and lifts me up. At first I am nervous. I am afraid of falling. I have no control over what I'm doing and the wind takes me where it wants. If the wind dies down I begin to fall or a large breeze makes me move quickly through the air and I get nervous. But soon I get comfortable with flying and I can turn in any direction I want. The wind dies down less often. I go higher and higher, often I get scared and come down a bit, but when the fear leaves I go higher than I previously was. Eventually I get the hang of flying and am comfortable with it, but I still feel as though somehow I'm missing something. Once I get the hang of flying I often realize that I've got no place to fly to. The dream ends with me kind of floating around aimlessly. I've had dreams along the lines of this one many many times.",college-m.tsv,,0.28811142,-0.29350752,-0.088854335,-0.28328145
052-1,"#052-1 In this dream I found myself on a type of spaceship. The inside looked like the starship Enterprise. This is strange because I really don't like Star Trek. For some reason a door is sliding open and closed, and I am shooting a laser at the opposite wall trying to hit two blinking discs. The laser I'm using isn't working so I switch to something stronger. The first beam was a red beam and this one is now a yellow one. I finally hit one and go out into the hall, walk a little way and enter a room with a sliding door. There is a girl dressed as I am, in some kind of uniform. The girl is someone I know from high school. I can't really remember what made me shoot but I did. The laser hit her in the foot taking a big chunk out. I remember seeing the chunk missing in graphic detail. I remember feeling ashamed I shot her and sad also. That was the end of the dream.    ",college-m.tsv,,0.22453524,-0.25832096,-0.098310545,-0.12548904
052-2,"#052-2 The only thing I remember about this dream is a jar of Guklins mustard rotating by my face. In the dream I don't know who threw it, but it was passing by my face in slow motion. The mustard was going so slowly I could read the label and see the brown specks in it. I could also see how the mustard shifted inside the jar as it rotated.",college-m.tsv,,0.5249605,-0.13179214,0.20431353,-0.08516707
052-3,"#052-3 This dream was during a nap, taken after Thanksgiving dinner. In my dream I awaken on the bed to find my sister's cat hitting me in the face with his paw. He is not using his claws but I'm so tired I can't move. The cat keeps disappearing under the bed and then attacking. Then he comes up and hits me but has his claws out and scratches my cheek. I awoke and did not know it was a dream until I looked at myself in the mirror and had no scratches.",college-m.tsv,,0.42204127,-0.29462552,0.068026364,-0.00797892
052-4,"#052-4 In this dream I am lost in a jungle and am walking along when I see this huge object. The object looks like the side of a bloated tick or the side of a huge gray submarine. This object is towering over the trees. I remember feeling afraid of it but going closer anyway. When I am close to it the side splits vertically. A huge elephant comes running out at me. I get out of the way and proceed to watch all sorts of wild animals run through. I think I walked through the split after the animals went through and I'm in my old hgh school. I can see myself screaming at my ex-girlfriend for something, which I have never done. I remember seeing all my friends but they were just staring into space.",college-m.tsv,,0.29461557,-0.28277028,-0.09919156,-0.107925445
053-1,"#053-1 I have an acquaintance, Mark, who offered me a job which I declined. He turned out to be very respectable and has a clear perspective on many issues we are both interested in. I don't know him too well but consider him to be a reliable and trustworthy friend. Through the course of our discussions he has made mention of his homosexuality. I know very few gay men, and have not an iota of respect for the majority of them. Mark is different, in my perspective, though. I had this dream, last night, though. I was meeting Mark and we decided, mutually, to meet at his house. He opened the door wearing a very feminine fake-silk robe with a chiffon collar. This didn't scare me; it pissed me off. I controlled my anger and told him, forthright, that I didn't find his attire appropriate to the occasion, which was just a social meeting to talk about current happenings in our lives -- specifically, his lover just left him, and my lover, who is a heterosexual female to compliment my heterosexual maleness has recently left me. I told him, straightforth, that I was not going to have sex with him . . . ""So go change your clothes, or I'll be leaving and we can keep things between us on a professional level."" End of dream.",college-m.tsv,,0.015701735,-0.21611175,-0.26626545,-0.11938589
053-2,"#053-2 I dreamed that I was laying alone in bed, rousting from a nap, to find that I had a split in the skin underneath my left nipple. It was not bleeding but it was tender and painful. So, for some damned reason, I slowly pulled it off. It totally weirded me out and I woke up. Odd, eh?",college-m.tsv,,0.55739146,-0.21787003,0.20678084,0.028227346
053-3,"#053-3 I dreamt that I woke up next to my girlfriend (which is not altogether unusual, as we spend most nights together), or rather, my former girlfriend as we have broken up but still sleep together. Sounds odd, I know, but it seems to work for us. So I woke up and noticed how pretty she is (I commented on this to myself in the dream) and just kept looking. I was feeling her side, just above her hips, (which I also found to be beautiful and commented to myself accordingly). I kissed her shoulder and her neck just below the ear and climbed out of bed to smoke a cigarette. Next thing I know I am dressed and smoking and taking a leak into the toilet. I go back to the bedroom because it is warm in there and I felt very cold in the rest of the apartment. Her alarm goes off, she climbs out of bed and I turn off the alarm, also a ritual. I get undressed and go back to sleep while she goes to shower. She comes back wet and climbs into bed and puts her arms around me. She is very warm although I feel cold from somewhere. Then she is gone and the bed is wet and cold but I stay and I am shivering. I notice someone else in the room. I don't know who it is but it is sexually exciting. Next thing I know I am awake and my friend/girlfriend is happy to see me and I am happy to see her. This still in the dream but I don't remember anymore.",college-m.tsv,,0.17946796,-0.35184458,-0.118273534,-0.22038798
