n,dream,source_filename,date,pca1,pca2,q_pca1,q_pca2,cluster
057-1,#057-1 I was on vacation and staying at a hotel. Coming in I took the elevator and instead of it going upward it went to the side.,college-m.tsv,,0.089877576,-0.16955683,-0.2448884,-0.13932075,2
057-2,#057-2 It was my birthday and I was in line receiving cards from my friends and family.,college-m.tsv,,0.31466627,-0.12224874,-0.08557866,0.12030647,2
058-3,"#058-3 I called a girl that I knew in high school on the phone. While talking to her on the phone, I could see her -- like on TV when two people talk on the phone and the black line on the screen separates them. The conversation was regular, just ""Hi"" and ""How are you?"" Nothing major. However, this is a sharp contrast to the experience I had when I actually called her last summer. She was hard to hear, like another phone in her house was off the hook, and there was a lot of background noise. The conversation didn't go well, as if she didn't know me.",college-m.tsv,,0.088685386,-0.08820775,-0.028630875,0.08064736,2
058-4,"#058-4 The store where I used to work closed in January, and I had a dream that it opened again. I didn't know until I happened to walk past the now-empty store and noticed that it was like a busy Saturday. I went in and found some of my old employee friends working, and they greeted me the way they usually do. Also, everything was switched around, with clothing racks facing different ways and what have you. I went home and told my mother. I said something like, ""Well, I guess I'd better apply again."" For some reason, my mother did not seem too enthusiastic about the situation. This is surprising, because she loved that store and the fact that I was working there. I also remember wondering if the old managers were back, in addition to a few other choice individuals.",college-m.tsv,,0.06604855,-0.005985111,-0.1865109,0.18985134,2
063-3,"#063-3 I was at my house and we just received an electric screwdriver from one of my friends, but I really do not like the kid. I figured it probably didn't work and that is why he gave it to me, but we cleaned it and it worked. I ended up  going to like a [illegible] to see him with another kid. Nobody I know works at [illegible] . I was trying to easedrop on them as they talked about the [illegible] .",college-m.tsv,,0.05547806,-0.15879749,-0.06603805,-0.039323837,3
075-2,#075-2 Taking a final exam in Dr. Bursik's class. A lot of anxiety in the class. The Final Exam seemed like this was the last exam in order to graduate.,college-m.tsv,,0.113804825,-0.17050947,-0.0793073,0.050991252,0
075-3,"#075-3 I went back to an old place where I used to work. John's auto sales in Somerville. It was a cold winter night and I walked in and saw John and Charlie. We had some laughs, ate some pizza and drank some wine.",college-m.tsv,,0.26742107,-0.14006276,0.00014199852,-0.041187074,3
076-3,"#076-3 I recall that I was in my house and noticed some birds flying around in the house. It didn't seem odd to me but I decided to follow them. I saw that they flew into the fireplace, so I took a flashlight and looked up into the fireplace. It was big enough to stand up but I didn't at first. I noticed a nest on the left side and a bee's nest on the right. I went to get a closer look and a big black bird was sitting in the middle of the chimney. I had to back off because he got mad. I thought it was great that we had these birds flying throughout the house so I left them there.",college-m.tsv,,0.026775438,-0.041675568,-0.22726598,-0.22352183,0
083-1,"#083-1 I always wanted to drive a standard automobile. My friend has a standard Mustang GT. He let me drive it a couple of times to learn how to drive a standard. One time when he let me drive, my brother, my friend and he (the car's owner) were in it. It was a snowy day. The road had snow on it. There was already like 6"" of snow on the ground. The snowbanks were high. As I was driving and turning a corner, I was switching gears, and I slid into a snowbank and put a dent in my friend's Mustang.",college-m.tsv,,0.030837238,-0.12562689,-0.17905527,0.0030184817,2
085-3,"#085-3 I found a winning lottery ticket, but I couldn't figure out how to play it. I asked everyone I knew but noone could figure out what exactly to do. Eventually I figured it out and cashed it in. The money I made was used for important things I needed to pay.",college-m.tsv,,0.09451034,-0.17898628,-0.17640787,0.025845027,0
085-4,#085-4 I had the biggest hockey game of my life. I went through usual game preparations. During the game I was hitting well and the game came down to the wire. I passed the puck over to my linemate who scored to win the game. I was psyched afterwards about the team winning. We went to the White House to meet the President because we had won.,college-m.tsv,,0.18702054,-0.053054497,-0.15531735,0.0033430802,2
