n,dream,source_filename,date,pca1,pca2
056-3,#056-3 I was massaging my girlfriend's legs and for some reason her legs were completely covered with tattoos. The tattoos were of devils and snakes. I also remember that my girlfriend and I were talking in her car and she was being very cold and uncaring.,college-m.tsv,,0.256018,0.037426
057-1,#057-1 I was on vacation and staying at a hotel. Coming in I took the elevator and instead of it going upward it went to the side.,college-m.tsv,,0.12382833,0.11721219
057-2,#057-2 It was my birthday and I was in line receiving cards from my friends and family.,college-m.tsv,,0.27041766,0.23662184
057-3,#057-3 It was snowing out and I was outside sliding down my hill in the snow. It was the start of the blizzard of '78. I was talking with my uncle.,college-m.tsv,,0.2614221,0.06957073
058-3,"#058-3 I called a girl that I knew in high school on the phone. While talking to her on the phone, I could see her -- like on TV when two people talk on the phone and the black line on the screen separates them. The conversation was regular, just ""Hi"" and ""How are you?"" Nothing major. However, this is a sharp contrast to the experience I had when I actually called her last summer. She was hard to hear, like another phone in her house was off the hook, and there was a lot of background noise. The conversation didn't go well, as if she didn't know me.",college-m.tsv,,0.072684325,0.08148099
058-4,"#058-4 The store where I used to work closed in January, and I had a dream that it opened again. I didn't know until I happened to walk past the now-empty store and noticed that it was like a busy Saturday. I went in and found some of my old employee friends working, and they greeted me the way they usually do. Also, everything was switched around, with clothing racks facing different ways and what have you. I went home and told my mother. I said something like, ""Well, I guess I'd better apply again."" For some reason, my mother did not seem too enthusiastic about the situation. This is surprising, because she loved that store and the fact that I was working there. I also remember wondering if the old managers were back, in addition to a few other choice individuals.",college-m.tsv,,0.10835227,0.05592015
063-1,#063-1 I was working in a building with the summer camp I work at. I was watching the kids play hockey. I got bored and left to go outside. When I was outside there was a fresh water pond where other kids were swimming. I saw a shark fin in it and we told everyone to leave the water. As I looked around I saw there was a kid hiding in the woods controlling the fin by an electronic machine.,college-m.tsv,,0.24753168,0.07999587
063-2,"#063-2 I was with my friends in a car. We were driving around and I had a 9mm gun which I was fooling around with because I never held one or saw one up close before. We looked out the car and I bet them I could shoot the flame off the candle that was in the distance. I did. We stop driving and were in the house that was off colored compared to the other on the street. Then we went to a corner store, almost like raiding like police would, and found machine guns inside.",college-m.tsv,,0.2067239,0.008341201
063-3,"#063-3 I was at my house and we just received an electric screwdriver from one of my friends, but I really do not like the kid. I figured it probably didn't work and that is why he gave it to me, but we cleaned it and it worked. I ended up  going to like a [illegible] to see him with another kid. Nobody I know works at [illegible] . I was trying to easedrop on them as they talked about the [illegible] .",college-m.tsv,,0.023530547,0.14495063
068-3,#068-3 I was over at my friend Fred's house and we were watching his two sons playing. We both looked out his parlor window. Out his window there was an island across the street. A hugr ship went by. After it went by there was a girl standing on the island in a bikini. She started taking off her bikini and we watched her get undressed through Fred's binoculars.,college-m.tsv,,0.24927375,0.0067454604
075-2,#075-2 Taking a final exam in Dr. Bursik's class. A lot of anxiety in the class. The Final Exam seemed like this was the last exam in order to graduate.,college-m.tsv,,0.22704996,0.17547011
075-3,"#075-3 I went back to an old place where I used to work. John's auto sales in Somerville. It was a cold winter night and I walked in and saw John and Charlie. We had some laughs, ate some pizza and drank some wine.",college-m.tsv,,0.18494716,0.19771366
076-1,"#076-1 I recall that I was at a junkyard but was not there to see cars. I went there to see fully intact dinosaur bones. These dinosaurs were lined up following each other like a parade. The workers explained to me that they died that way, instantly frozen, when a deep freeze set in. I recall that I thought it was very odd that they didn't die slowly and why they weren't down on the ground. Then my brother came up to me and said that he saw my old car (which I owned 10 years ago and sold) fully intact, for sale in the yard. Then that's when I started seeing old cars in the junkyard surrounded by the dinosaurs. I started looking for the car and finally found it sitting on top of other cars. I looked at it and saw it was like my old car until I looked inside of it and noticed it was different than mine, then when I looked at the outside again, it was completely different.",college-m.tsv,,0.116925225,0.030931743
076-3,"#076-3 I recall that I was in my house and noticed some birds flying around in the house. It didn't seem odd to me but I decided to follow them. I saw that they flew into the fireplace, so I took a flashlight and looked up into the fireplace. It was big enough to stand up but I didn't at first. I noticed a nest on the left side and a bee's nest on the right. I went to get a closer look and a big black bird was sitting in the middle of the chimney. I had to back off because he got mad. I thought it was great that we had these birds flying throughout the house so I left them there.",college-m.tsv,,0.1686587,0.0042262645
083-1,"#083-1 I always wanted to drive a standard automobile. My friend has a standard Mustang GT. He let me drive it a couple of times to learn how to drive a standard. One time when he let me drive, my brother, my friend and he (the car's owner) were in it. It was a snowy day. The road had snow on it. There was already like 6"" of snow on the ground. The snowbanks were high. As I was driving and turning a corner, I was switching gears, and I slid into a snowbank and put a dent in my friend's Mustang.",college-m.tsv,,0.1727683,0.10233863
083-2,"#083-2 I was at work cashiering. It was a very slow night. I saw this girl walk into the store with some guy. I thought the girl was my girlfriend with some other guy. I watched them from my register into the aisle. When she turned around and came walking to the front of the store where the registers are, I noticed it wasn't she, and I was very relieved.",college-m.tsv,,0.10688213,0.026761144
085-3,"#085-3 I found a winning lottery ticket, but I couldn't figure out how to play it. I asked everyone I knew but noone could figure out what exactly to do. Eventually I figured it out and cashed it in. The money I made was used for important things I needed to pay.",college-m.tsv,,0.18911916,0.18365985
085-4,#085-4 I had the biggest hockey game of my life. I went through usual game preparations. During the game I was hitting well and the game came down to the wire. I passed the puck over to my linemate who scored to win the game. I was psyched afterwards about the team winning. We went to the White House to meet the President because we had won.,college-m.tsv,,0.26036978,0.089427136
089-1,"#089-1 [This is the most recent dream I have had.] The dream has to do with a Baybank automatic teller machine. One day I went to take some money from one of the Baybank ATM's. This ATM ran out of paper to record the transaction of ""fast cash."" I was eager to know how much I had left in my account. But because the ATM ran out of paper, I couldn't tell. I made purchases with my Baybank Mastercard that allowed the store to bill my account. I was a bit nervous maybe there was not enough money in my account, I thought. I wasn't sure whether the bank paid the store or not. So this confusion led me to dream about the ATM giving me a receipt of my transaction, which would have displayed my balance. Strange, isn't it?",college-m.tsv,,0.28905138,0.010099569
090-1,#090-1 I was at Fenway with a childhood friend who I haven't seen in over 10 years. Bucky Dent was coaching third base. While the game was going on he came over to the seats and asked me what my name was. The whole time the game is still going on but in a way that didn't make sense. I can't remember why it didn't make sense. The next thing is we're standing in a living room. He's signing autographs and giving me all the baseballs that he signed. It was much longer but by the time I wrote it down I could only remember this small chunk. I do remember seeing this same scene over again about 5 or 6 times.,college-m.tsv,,0.07740407,0.11398334
090-3,"#090-3 I was in some kind of eating establishment, like a Friendly's or a Wendy's. I was having a cup of coffee with a lady who is in one of my classes. No words were spoken. She then looked out the window and said, ""Look. There's Mike, Craig, Jason and Ed."" I turned around to look and across the large parking lot in front of a building that looked like the NAPA store in my hometown are my fiancee's cousins, Mike, Craig and Jason and her Uncle Ed. They were dressed up in tuxedos and looked just like one of the pictures we have of them at a wedding. I remember thinking at the time that was strange. That's it.",college-m.tsv,,0.043858554,0.020885183
097-2,"#097-2 I was in a subway station, but not any of the ones in Boston. I think it may have been in New York. One of my bosses from a restaurant that I work in was there. He had these two guys chasing me. They chased me all over. I fell down a large set of stairs and then got up and ran. All I can remember is that they were still behind me.",college-m.tsv,,0.21016358,0.023003135
099-4,"#099-4 I was brought to the future. The world was war-torn. The people that brought me there were rebels fighting aliens that took over. They showed me tapes of when this take-over was to happen. They sent me back to my own time to try and stop them. I got as many people as I could to help me, but they all ended up dying. I was able to slip a computer virus into the mother ship's main computer, causing them to return to their own planet.",college-m.tsv,,0.3125991,0.14736454
9,"I was driving down the road passing all these very strange and odd-shaped vehicles. They were many different shapes and sizes. I was in a vehicle that you could drive on the road or in the air, similar to what the Jetsons cartoon characters would drive. I was trying to get home from Kentucky, I think, with some friends. We were all in our own vehicles. We were disagreeing on what highway to take. We were all in the air looking down at the different highways branching off from where we were. As I started on my way, the surroundings suddenly changed. I was no longer in a vehicle and no longer on a highway. The best way I can describe this is a car wash for people. I was lying down going thru their curves and down the hills through machines, sponges, etc.",elizabeth.tsv,(1993-02-16),0.0327826,0.0017231316
10,Dan M was wearing a pair of shorts. He had a small tattoo of two leaves and a vine on one leg. The other leg was almost covered with the same design but I couldn't tell if it was an actual tattoo.,elizabeth.tsv,(1993-02-27),0.1607979,0.3069589
14,"Bruce S was dressed as a woman. I can't remember why. Later, we were both dressed up in very elegant clothing and we went out to dinner and dancing. We became very close and intimate. Ray H and Kay H were furious that their son, but it was still Bruce S, would be dressed as a woman. He had each of us urinate in a bottle and then was squirting us in the face with it while yelling and screaming.",elizabeth.tsv,(1993-03-02),0.0432969,0.17255662
15,I was married to the man who plays Jack in the TV program Love and War. Here his name is Ben. I had a baby. We named him Benjamin. The baby wasn't well and was going to have to spend the first two years of its life in the hospital. The problem is that he would occasionally just stop breathing. My family and friends were keeping me posted on how the baby was doing. I was sobbing often and a lot and having trouble coping.,elizabeth.tsv,(1993-03-07),0.04703899,0.079458855
16,"Grocery store, man, wholesale club, meat only.",elizabeth.tsv,(1993-03-10),0.012519405,0.44470266
17,"Tony S, Dorothy S, and Jane H. Snow. One lane.",elizabeth.tsv,(1993-03-10),0.12662417,0.3770905
18,David Letterman Socks Show. Diane S. Limo. Comedy Club. Intimacy. Video. Another man.,elizabeth.tsv,(1993-03-10),0.117923915,0.4175286
33,"I was at someone's home. I believe I was with Margaret L, doing a Circle. Towards the end of the evening, as I was collecting the money, I realized that I was at Mike M's home. I was excited to finally see what he looks like. I found him attractive and that was reassuring. I asked him if he knew who I was and he said he did not. I did not reveal myself to him.",elizabeth.tsv,(1999-11-13),0.09853408,0.016695496
36,I was going through a bag of clothes that I was going to give away and I found my green jumper that I intend to wear tonight on a date.,elizabeth.tsv,(2000-01-15),0.0629408,0.19102132
38,I keep having these images of a blanket with black groups of strands of hair hanging off of it.,elizabeth.tsv,(2000-02-02),0.15616235,0.20875739
39,"I was playing cards in a very large room. I had a 69 and the flip was 69. There was a large group of players, 50 or more. The card was a king so I threw my hand away. Chris A was playing in the same room. I left my seat and the room was so crowded I could not find a new seat.",elizabeth.tsv,(2000-02-04),0.076586485,0.07996626
49,"It was winter. We were transforming a gymnasium, maybe to be used for a concert. I was explaining something to someone. Someone was making out in car.",elizabeth.tsv,(2000-03-24),0.06814407,0.18301328
53,"I was driving around town, maybe to a Target store. I went to one store but left right away and went to another. They didn't have any shopping carts.",elizabeth.tsv,(2000-04-02),0.04656893,0.28147864
54,A bunch of men were there and going to take turns with a prostitute. The first one was just about to slit her throat when I woke up.,elizabeth.tsv,(2000-04-02),0.1522923,0.014506328
55,White dove momentarily appeared.,elizabeth.tsv,(2000-04-03),0.0887379,0.25699764
56,"White dove appeared. There was an angelic presence though I saw no figure or form, only a beautiful light. You have the knowledge.",elizabeth.tsv,(2000-04-03),0.1325029,0.16531844
60,"I felt like I spent all night working with the MMPI, thinking INSP and trying to figure out what I am. Maybe I am INSP.",elizabeth.tsv,(2000-04-05),0.114819795,0.32450914
61,Back to Barry C and some research papers. I was trying to salvage some situation here as well.,elizabeth.tsv,(2000-04-06),0.074605756,0.38009346
66,"I was working on my website, moving things around.",elizabeth.tsv,(2000-04-12),0.10015042,0.3523728
68,I was working on my website.,elizabeth.tsv,(2000-04-15),0.17691493,0.42947277
69,I was working on my website again.,elizabeth.tsv,(2000-04-16),0.14753868,0.38348675
71,I was teaching Matthew about appropriate choices for sexual relationships.,elizabeth.tsv,(2000-04-21),0.021694591,0.28163353
72,"I was at Barry C's apartment. We woke in the morning. He and I were in bed, listening to his daughter talk to herself in the kitchen. She had music playing. She said she was having defibrillated cheerios. We went out to the kitchen and Barry C introduced us. We each exchanged three sentences but I don't recall what they were.",elizabeth.tsv,(2000-04-21),0.16306674,0.1924284
74,This was something about sex toys.,elizabeth.tsv,(2000-04-26),0.08381061,0.34769997
76,"I was working at computer, opening, reviewing and closing many letters written to colleges. Each letter went to the same mailing list, different topics.",elizabeth.tsv,(2000-04-29),0.033797104,0.43235722
79,Barry C and I were both celebrating our birthdays. Patty U brought us each a round birthday cake. She lit the candle only on his. Mine didn't have a candle.,elizabeth.tsv,(2000-05-10),0.17490959,0.2927664
81,Something about witnesses.,elizabeth.tsv,(2000-05-17),0.00037680348,0.2410993
83,"Some aspects of this were cartoonish. I was with my brother, though it wasn't one of my waking life brothers. We were driving somewhere because there was something we had to do. We came to a very strange phenomenon that we had to go through. It would take us into another dimension.",elizabeth.tsv,(2000-05-27),0.22283,0.030729285
84,"A grey-haired woman in a rocking chair. Rocking, Wearing a lime-green dress.",elizabeth.tsv,(2000-05-30),0.04145406,0.27439588
85,"A calendar. The date was the first, but of no particular month.",elizabeth.tsv,(2000-05-31),0.17813836,0.42966303
86,"I was with BJ, sobbing, saying, I don't know what I'm going to do without him, referring to Matthew going to college.",elizabeth.tsv,(2000-05-31),0.084352806,0.10908284
90,A wonderful spiritual dream.,elizabeth.tsv,(2000-06-17),0.43712664,0.016660048
92,"Barry C called to tell me that they were going to get married. I said you and Patty U. He didn't answer me, but I knew from his response or lack of that I was right.",elizabeth.tsv,(2000-06-19),0.12935397,0.27296802
93,I was at a sleep conference in Las Vegas.,elizabeth.tsv,(2000-06-22),0.30371886,0.23341888
96,"Santa Claus and two reindeers. The reindeers may have been people in costume. I'm not sure if we were outdoors, in a basement or both.",elizabeth.tsv,(2000-06-24),0.09611472,0.25466073
97,Many children's hands.,elizabeth.tsv,(2000-06-26),0.099925,0.35969964
98,"I was looking at a picture of Matthew and myself standing in front of a tree. He was much younger than now and was standing in front of me. As I was looking at the photo another image of myself appeared in the picture, standing next to the tree, facing it, kind of hugging it. Then that image slowly faded until it was gone. Then the image of Matthew and me was replaced by an image of Jesus in long robes with his hands open/out-stretched but downward. Suddenly angels began appearing and disappearing. I was thinking how cool this was. I may have been lucid.",elizabeth.tsv,(2000-06-27),0.15538378,0.03436858
102,A man telling me there are clean sheets on the bed.,elizabeth.tsv,(2000-07-09),0.08592028,0.17415984
103,Glad you're willing to try it in here. Small hand held computer and screens. I was driving over much stuff on the floor so it was very bumpy and rough. There was a man there who thought I did very well.,elizabeth.tsv,(2000-07-11),0.07471807,0.15612434
104,Something about Barry C and my red satin nightgown but it wasn't sexual.,elizabeth.tsv,(2000-07-12),0.27276677,0.23810464
105,Something about Raina D.,elizabeth.tsv,(2000-07-13),0.19906808,0.35429877
107,"DT online chat. I woke up to go to the bathroom thinking, I have to hurry so I don't miss much of the chat.",elizabeth.tsv,(2000-07-19),0.15221977,0.29597044
108,Reading old email.,elizabeth.tsv,(2000-07-22),0.11098482,0.30693787
110,"I was looking at a picture of Matthew and me standing in front of a tree. He is much younger than in waking life. He is standing in front of me. As I was looking at the photo, another image of me appeared in the picture. I was standing next to the tree, facing it with my arms around it. The second image slowly faded until it was gone. The image of Matthew and me was replaced by an image of Jesus in long robes with his hands open, out-stretched but downward. Suddenly, angels began appearing and disappearing. I was thinking how cool this was.",elizabeth.tsv,(2000-07-27),0.1521149,0.04743757
111,"The Lambert's had died and we were having a double funeral. At the wake, Mrs. Lambert opened her eyes and we realized she wasn't dead at all. I don't remember if Mr. Lambert woke up or not. Later, Mrs. Lambert appeared to be a young woman. I was defending her to some people, but I don't know who or why. ",elizabeth.tsv,(2000-08-14),0.12372199,0.13476656
113,Someone was sprayed with pepper spray and was freaking out because they thought it was mace. Then someone sprayed three more people to show them that it was only pepper spray but they sprayed it on their shirts not on their faces.,elizabeth.tsv,(2000-08-16),0.05196744,0.255226
120,"I was at CIIS. Matthew Lauer and Ann Curry were there. There was some joke about a red bull. I was in a car with someone. They were driving. There was a life-size, cardboard, red bull in the driveway. I was telling Matthew and Ann C about it and said it sounds like something Julien would do. I went to sit down for breakfast. Julien D was there eating a bowl of cereal. They looked like colored cornball cereal. He looked at me and said, Vas is los? [German phrase I have no idea how to spell] . I said, wait a minute. Let me think. Then said, Noonagaboona. [Again, German, no idea how to spell.] I said wait a minute because I thought something else should be said first. I sat down next to Julien D and began eating cereal also.",elizabeth.tsv,(2000-08-25),0.014842485,0.124996476
122,There were three Nick R's. They all looked different but all named Nick. Yet all were the same Nick R. One of them was trying to become a better person and trying to show me that by treating me much better than he had in waking life.,elizabeth.tsv,(2000-09-01),0.13868706,0.1931438
123,I was working in the flowerbed. All of the tomato plants had died so I was pulling them all up and removing the tomato cage. There were many birds sitting on the fence.,elizabeth.tsv,(2000-09-01),0.023972832,0.18765919
125,"Mother and numerous other women her age had been killed in the streets of Dover. No blood, but a body lying every 100 feet or so. I didn't see Mother.",elizabeth.tsv,(2000-09-16),0.11593165,0.09494277
127,"In a car with Bart H. He was driving. We were going to airport to get him a flight home. While driving he leaned over to kiss me. hesitated for just a moment, then proceeded. At first I didn't kiss back but then melted into the kiss. It was very nice. It was our first kiss. He started talking about us being together soon. Then he said something about me being very hot. I moved closer to him and put my hand on his thigh. We kissed again.",elizabeth.tsv,(2000-09-21),0.14566746,0.034034878
132,Matthew owned a small car. I was thinking about the fact that small cars are more dangerous than larger ones.,elizabeth.tsv,(2000-10-22),0.035409283,0.179445
133,I was wrestling with schoolwork.,elizabeth.tsv,(2000-10-23),0.12062361,0.26947108
134,Carmen and Duffer.,elizabeth.tsv,(2000-10-23),0.1622807,0.33949822
135,I think I was at intensive with Matt O. We were sitting side-by-side. He had his arm kind of around me and kind of on the chair. I wondered if it signified a romantic interest.,elizabeth.tsv,(2000-10-27),0.13605548,0.25627682
138,"I was five people at once, moving in a clockwise circle on top of the head of a pin. The direction changed to clockwise because someone said it needed to for safety reasons. I'm not sure why.",elizabeth.tsv,(2000-11-09),0.11135012,0.24761342
140,"I think I was at Brad F's store. An older couple was trying to get us to go out. I was trying to get Brad F to realize that I would get us out of it, which I did.",elizabeth.tsv,(2000-11-11),0.024120871,0.26592073
142,"You do your homework again, and you're not going to be flying for a week.",elizabeth.tsv,(2000-11-22),0.08081597,0.27000695
144,I married Chip P in a very casual ceremony. We were dressed in black and white casual clothes. He sang to me during the ceremony. I stood with my hand in the crook of his arm. I was thinking about whether or not I was sexually attracted to him.,elizabeth.tsv,(2000-11-27),0.15600276,0.12086313
145,"I was somehow involved in the care of children. We all lived in this mansion. My bedroom had no window. Niles from the TV show The Nanny was there. I saw him in his room dancing. The only thing he was wearing was a pair of black lace, thigh length, tight, underwear. Later we were playing baseball with the children. I let one of the little children have all of my turns.",elizabeth.tsv,(2000-11-27),0.0361907,0.06934046
147,"Nikki Neuman from the Young and the Restless said something that we could go into this other room to observe something or someone. She said, they always let her use this room for various things. One of the things she mentioned was washing her car. We were also eating cheese wrapped in ham.",elizabeth.tsv,(2000-11-28),0.040687937,0.17341322
151,All I remember is the name Paul Gorrell [unknown in waking life] .,elizabeth.tsv,(2000-12-21),0.27711013,0.32161433
155,"My husband is trying to find our kids and me after an accident. Maybe a car accident, maybe a fire, maybe both. Someone tells him that it is too late, that we have died. I'm saying, no, it isn't. You just have to look here. I think we are in a car but I think there are flames also.",elizabeth.tsv,(2001-01-06),0.06505743,0.020125639
159,I was at a department store with Theresa Ah. They had candy on sale so I bought several bags- each a different kind. I also bought two desserts. One was a cream pie.,elizabeth.tsv,(2001-01-20),0.016816853,0.38695368
160,There were puppy dogs that looked like Goonies.,elizabeth.tsv,(2001-01-21),0.12553942,0.290562
161,"Rick A and Bill Cra were there. I was working at an ice cream shop or a fair, not sure which. A child came up and asked for an adult sundae. It was supposed to have vanilla and chocolate ice cream. I put the vanilla in and then started to put strawberry in it. I realized my mistake and scraped the strawberry out. I was being interviewed I was at a ball game or racetrack. Ruth M was there. It was a bright, sunny day. I was sitting in the grass, wearing a dark-colored short skirt. I pulled the skirt down as far as I could while sitting. It came just above my knees.",elizabeth.tsv,(2001-02-03),0.025744371,0.137889
162,"Myself, Dorothy S, and two of her girls were there. Ray K and Kay H were in it. I was in their car. When we arrived at our destination they opened the trunk and insisted on giving me cans of various kinds of fish. Some were salmon in sardine cans.",elizabeth.tsv,(2001-02-04),0.08617335,0.19606495
166,"I was talking with Jana S. I was asking about how things are at the sleep center now. I asked how things are between her and Doctor W and she said, no, different.",elizabeth.tsv,(2001-02-13),0.108697645,0.19859278
169,"I was at my birth home. We were playing in the woods near the trees with the swings. I don't remember everyone who was there. Bruce W was there. I was getting ready to swing and Bruce W warned me not to get on that one. The chain supporting it was about to break. I went to one of the other swings, a plastic one, and began to lie on my stomach on the swing.",elizabeth.tsv,(2001-02-20),0.08343691,0.07364489
175,"Aaron S, romantic partner, two little girls, red hair, tent poles, Daddy, home. another man, romantic partner, Mike A after he's gotten out, BJ, car.",elizabeth.tsv,(2001-03-02),0.19563773,0.24728724
181,It had a horse in it that was named Patterson.,elizabeth.tsv,(2001-03-11),0.075477384,0.3645431
183,"Hotel, Darren, dinner, memories of engagement, other people, too much to drink.",elizabeth.tsv,(2001-03-11),0.10652257,0.32405782
198,We had these typed job descriptions. I found one that matched me very well. I was very excited about it. I was putting it in a glass frame.,elizabeth.tsv,(2001-03-22),0.15443854,0.32550892
199,Matthew came in a room and asked me for a phone number for himself not for MC. One night he didn't have to use his phone card number.,elizabeth.tsv,(2001-03-23),0.012320779,0.18105136
206,"_________ was there. I was so excited to see her. It was something about a job, doing it well, being successful with it. I was with her at somebody's house with a bunch of other relatives.",elizabeth.tsv,(2001-04-05),0.15660064,0.20347789
211,Kevin Bacon and I were flirting with each other.,elizabeth.tsv,(2001-04-18),0.0771287,0.20671397
219,I called Mother a day late to wish her a happy birthday. Then I forgot to say anything when I called. I realized I would have to call her back.,elizabeth.tsv,(2001-05-01),0.11588213,0.12548865
224,"We were at a Harris Family reunion. Bruce W was there. I think with his wife. He had a lot of small animals in cages, about the size of Sir Gallahad. They were very unusual. There was a cow and a pig. There were quite a few puppies. One was a bear. They were miniatures. They were all very tame, gentle, and easy to play with. One of the puppies was fighting me a bit so I sat him down or he wiggled out of my hands. Bruce W corralled him back into his care right away.",elizabeth.tsv,(2001-05-04),0.076263234,0.1963498
229,I had a second child. He looked very much like Matthew but his name was Benjamin. I commented that I too often call him Matthew. Matthew was the age he is now in waking life. Ben was two or three. He was eating something very messy and I had to give him a bath.,elizabeth.tsv,(2001-05-12),0.06492493,0.16620357
254,"Gary S was very happy to see me. He was still attracted to me. We felt very close, almost as if we had not been apart all these years.",elizabeth.tsv,(2001-07-03),0.18355383,0.15132609
257,I had an image or sensation of stepping into traffic and being hit by a car or truck.,elizabeth.tsv,(2001-07-17),0.29601872,0.02519814
271,I was at the sleep center. I saw Dr. C. He had let his hair grow long and it was hanging down in his face and gotten it highlighted. It had blonde streaks in it. I passed Dr. W. We said hello as we passed but that was all.,elizabeth.tsv,(2001-08-08),0.22109243,0.09085065
274,I was trying to give myself a perm. Someone else had started it but then they quit. I was determined to get it done so I was trying to roll it myself and I was getting really frustrated. I had taken them out and started over. My hair got dry so I had to completely wet it again. At first I was starting to make rows on the right side above my ear. I tried that a couple of times and then I decided to start on top and get that hair out of the way first and then do the lower rows.,elizabeth.tsv,(2001-08-14),0.059039503,0.17685284
276,I was pregnant and experiencing labor pain in my back. In waking life my back was aching from walking the mountains today. I don't remember who my husband was but he was there along with another man. I was also trying to get married before I had the baby. There was a problem with the dress and something else I think. The pain in my back was worsening so I knew birth was near.,elizabeth.tsv,(2001-08-24),0.21726063,0.07955074
281,I was driving through a parking lot and was driving the wrong way up the aisle.,elizabeth.tsv,(2001-09-16),0.038465492,0.12146041
282,I was at a Harris family reunion. I was sitting in my car trying to get something done. Larry K came up and got in the car with me and was talking to me. I had lotion on my hand and accidentally got it on him. I wiped it off. ,elizabeth.tsv,(2001-09-17),0.07285268,0.09673903
289,Actually they are just sounds. It sounds like fireworks or explosions that you would hear in a battle. At first I thought they were the latter.,elizabeth.tsv,(2001-09-23),0.14721997,0.21572644
294,I was facilitating one of my dream groups. I counted and there were six or seven people there. I thought Oh good I'm making a decent amount of money tonight.,elizabeth.tsv,(2001-09-28),0.3162683,0.17661452
296,I was doing basically the same activity all night. I was doing some kind of work with long tubes. like shipping tubes.,elizabeth.tsv,(2001-09-29),0.09964972,0.1919503
301,I was outside in the rain trying to walk along the buildings to stay out of the rain. I was going from section to section of parking lot and tried to get to the parking lot where my car was. ,elizabeth.tsv,(2001-10-04),0.1021347,0.00463909
302,I was married and living at my birth home. Where the garden was is a swimming pool. There are a lot of people there. I don't know if they are learning to swim or practicing swimming. With my swimming laps there. ,elizabeth.tsv,(2001-10-04),0.06748493,0.24110386
303,We also had a baby in the rear seat. ,elizabeth.tsv,(2001-10-04),0.05899965,0.2405751
314,I was trying to get something to work on my AOL and couldn't figure it out. I think I was trying to get the icons to show up on my Buddy List.,elizabeth.tsv,(2001-10-21),0.15574254,0.4448157
317,"All night long these different computer tasks were going through my head, making choices from the menus. Fixing problems, etc. Very annoying.",elizabeth.tsv,(2001-10-27),0.123118095,0.41033208
