n,dream,source_filename,date,pca1,pca2,q_pca1,q_pca2
051-1,"#051-1 ""My wife to be"" and I were in a store. Apparently the store was near the water because I kept on trying to convince her to drive the boat while I went skiing. She claimed it was too cold to ski. Besides she had to buy snap-together funnels at the store near the water. In the store she was wearing only a towel, and I was holding the towel on her for a while so that she could look for funnels. She passed up quite a few funnels until she got to the snap-together ones. Finaly I got to go waterskiing, but it wasn't my ""wife to be"" driving the boat. It was my sister. But before my sister took me waterskiing, back in the store with my wife, after she bought the funnels we moved onto a different area of the store. We came across a table. On that table were the workout gloves (2 pair) one mine, one my sister's, that she and I had lost in real life. In the dream they were new and didn't have all the holes and stuff in them as they did when we lost them. I told my ""wife to be"" about how comfortable the gloves were and where the holes were and how they fit and how I wish I still had those gloves. I remember hoping that my ""wife to be"" would get the hint and buy the gloves for me for Christmas.",college-m.tsv,,-0.05532667,-0.11353087,0.1356268,-0.25061345
055-4,"#055-4 My friend (Joel) and I were in a big house. There were four young girls playing somewhere in the house. These girls were approximately ten or eleven years of age. At first Joel and I were just watching the girls socialize in the backyard. They were congregated around the swimming pool with what looked like dolls. Anyway, we went back in the house, where the girls were playing in several rooms while Joel and I were watching TV downstairs. Suddenly, we heard several knocks right above us. We figured out that the father was coming downstairs. As soon as he made his way down the stairs Joel hesitantly took off running. I followed him outside until we were not in clear view: He then (desperately) asked me to call a cab from the payphone in the backyard. He told me of a party that was going on that night. He suddenly flipped me a coin but I didn't react to it quickly enough. He flipped me a second coin as if he were James Dean. I proceeded to call the cab and I woke up as soon as it arrived.",college-m.tsv,,-0.016172113,-0.2732611,-0.16867028,0.11772755
058-1,"#058-1 My friends and I were supposed to go to Boston one night, around 6 or 7 pm. The train was the last one that night, even though the last one is usually at 11:00. For some reason, the train was leaving from my old high school bus stop. Everyone was meeting at my house, which is about a two-minute ride from the stop. They were at my house, but I was really late. This is very unusual, because I'm always early. They were in my kitchen and kept telling me to hurry, as I was. We decided that they'd leave and I'd meet them at the bus/train stop. Now, there's only a couple of minutes 'til the train's departure. I raced out of my house, down the stairs and across the lawn, but I forgot my pants. I ran back, put them on, and ran out again, but forgot my asthma medicine. To make a long story short, I forgot my wallet and my coat, and ran back and forth every time for each item. Eventually, I got to the street, knowing there was no way I could make the train. Then my friend's car drove over the hill to meet me. The car was red, even though I don't know anyone with a red car. They stopped next to me, and they looked disappointed. Then I woke up.",college-m.tsv,,-0.095523186,-0.2461072,0.14650162,0.12906945
083-3,"#083-3 I was on the phone with my girlfriend and we got into a huge argument. She was in her kitchen talking on the phone, where her father and mother were. She was crying on the phone, in front of her parents because of the argument. Her parents asked her what was wrong and if she were all right. She said she was fine; nothing was wrong. When I went over to her house the next night, she stepped out of the room for a minute and her father came in to talk to me for a minute. He said if I ever get into another argument and get her upset again, like she was before, he would never let me see her again because of all the stress I would be causing her.",college-m.tsv,,-0.17029305,-0.078019254,-0.13842362,-0.026638089
087-3,"#087-3 I was mowing my lawn. The strange thing is my yard was totally different than the real world. There were vast areas of grass, [illegible] wire fences separated each person's property. The houses were far apart from each other. It was also a bright sunny day. I was mowing my lawn and so were the neighbors. But I noticed that they were starting to get hostile. I stopped and saw the two neighbors upsetting each other. The blades of grass and other small particles were flying into each other's lawns due to the mowers. Before it got too ugly, I woke up.",college-m.tsv,,-0.059593663,-0.051900942,0.13981031,0.17270468
095-1,"#095-1 I had a dream last night that I was at work and a man came in and wanted a sandwich. (I work at a deli.) He asked for a hamburg sub, like the one at DeAngelo's. We don't sell those. I found a little bit of hamburger anyway. So I then started to cook it in the microwave. We usually only cook pastrami in the microwave. I put pastrami in with the hamburg. The weird thing was that when everything was still cold and before I put it in the microwave the cheese that I put on it was melted already. Then I asked the guy, who looked like he was part of the Hell's Angels, if he liked the cheese melted and he wanted to know why it was melted before I cooked it. Then he asked me how much hamburg I put in. I showed him the little bit I had put in. (We put things in a dish when we cook in microwave.) Then he said that I should charge him less. I told him I put pastrami in it also so it would be the same price. Then he got upset. I was nervous when getting everything ready and I took out a hot dog roll to put the sandwich in but he said he wanted a sub roll. Then another customer wanted something at the lottery so I went over to take care of that person. There were all these people at the counter. My cousin, who does not work there, was behind the counter and I could not squeeze by him because he was too fat. Then I started panicking and getting real nervous. Then I woke up.",college-m.tsv,,-0.023106745,-0.16357866,-0.15752769,-0.12874457
097-3,"#097-3 We were off Admiral Street sitting on a house that has been known to have drugs deals there. There were at least two patrol cars that I could see. I was alone in one. I went into the house and arrested various people, but the one I caught happened to be my sister. I did not know what to do. Do I arrest her or let her go? She had just had a baby in February. I arrested her because it was my obligation and it was the best thing for her. I then became scared that the court would take away her baby, but I would file for custody.",college-m.tsv,,-0.14232168,-0.09732966,0.15055688,0.16344088
098-4,"#098-4 My friend Paul and I were at a convenience store. These two guys came into the store. There was an argument between them and us. Outside the car one of the guys came up to my window and started screaming and waving a gun. I took off with Paul and they chased us. After a couple of minutes into the chase I got a flat tire. Paul and I said that if we split up it would be harder for them to chase us. I ended up running to the fire station where my father was working that night. He took me up to the third floor. All of a sudden we both saw one of the men trying to get at us from outside as he was trying to get in through the window. Once he got into the room I ran right into him causing him to fall right through the window. I thought I had killed him, but I looked out the window. He had only fallen into a hedge that was out on the second floor. As my father and I looked over he was pulling out a gun. I ducked and my father was one second short of ducking and ended up getting hit in his right side of his ribs. I picked my father up on my shoulders and carried him throughout the fire station. I was very aggravated because of what had happened so I hid my father in the fire station, got an axe off of the fire truck and went looking for this person. As I was retracing my tracks the stupid phone rang -- woke.",college-m.tsv,,-0.15472208,-0.3239266,-0.06462419,0.34660214
100-4,"#100-4 I was being detained in a kind of prison in a former communist country in central Europe. The prison was in Europe, but it was designed exactly like Fenway Park in Boston. I was being held along with a group of students, but why we were being detained was unknown. Apparently we were found guilty of some crime that nobody seemed to understand. Groups of us were sequestered into various locations throughout the prison. The conditions of the cells were very primitive. They were large rooms with cement floors that were covered with straw. Upon arrival at the prison, our clothes had to be traded in for very worn, loose-fitting outfits that were tied at the waist with ropes. The prison, being the actual size of Fenway Park, seemed very large. There were very few people around except for ouselves and prison officials. While we were unable to go outside of the prison, we were permitted to move around inside of it. The halls and passageways were relatively empty, but there were people working at the concession stands. At one point the other prisoners and I decided I should attempt to buy some beer at one of the concession stands. I found a beer stand and asked if I were allowed to purchase some beer. I reached into my pocket and found money that I could pay for it with. The attendant replied that I could buy some beer if I hadn't had any codeine within the last 20 hours. I remembered that the prison officials had given me some medications earlier that day with codeine, so I was not able to have the beer. At that point I began walking around in the large and desolate prison. I remember nothing further about this dream.",college-m.tsv,,-0.18254203,-0.029761776,0.26033866,0.021469565
3,It is summer. I'm still living as a single mom on Lakeland. My family lived on the same street. I saw Brian F go in their house dressed in his underwear and a man's pink negligee with a girl on each arm. He leaned out the window and invited me in but I said no. I was in my house looking out the window and could see one of the neighbor's home movies. It was a little boy by a fence learning to play baseball. He is batting but he keeps missing. The little boy was Connie's son. I then went to Connie B's house. Their whole family was there. One of the men said I was his. I was interested in his brother. We were all talking and laughing. I felt that they really liked me. I was the life of the party. We were discussing swimming pools and hot tubs. The man I was interested in was with two women. He said the image of me in a swimsuit was gross. I became very quiet and sad. I left and went to my family's house. I made a comment about them living on the same street and never coming to see me.,elizabeth.tsv,(1991-01-31),-0.2185525,-0.26092786,-0.17011009,-0.00377422
