n,dream,source_filename,date,pca1,pca2
058-2,"#058-2 I went to the music store that I always go to in Wilmington. This time though, it looked much different. It looked like a sporting goods store I had been in years ago, which had a wooden, cabin-like exterior. The proprietor, who is one of the nicest guys I've ever met, was there, but I don't know if we talked. He was busy with some paperwork behind the desk. Meanwhile, I was going through a large selection of sheet music, which was in plain cardboard boxes. Also in the boxes were some pieces of cake and some other things like muffins and cookies. I had a piece or two, but started eating them secretly so the guy wouldn't see me. They didn't taste that good.",college-m.tsv,,-0.11768002,0.12663218
085-2,"#085-2 I was being accused of stealing my roommate's things from his room. An undercover cop came by and went into my top drawer and pulled the missing shirt from my drawer. He warned me but said we'd make a deal. He left and stuff from my roommate's room was winding up in my room. She eventually found out. However, she said she knew it wasn't me.",college-m.tsv,,-0.07989839,0.054543786
1,"After he left, another young man came out from behind the reception desk. I told him I was waiting for Debbie Phillips [unknown in waking life] . He said, oh yeah you have some forms to fill out. At that point I felt like I was a new employee. I don't know why I thought that. He walked away and I was just kind of wandering around the front office area there. There was an antique sewing machine there. Very similar to mine only I remember thinking how large it was and how I guess this interested in it. I remember thinking how much I like antiques. There was no name on it. It didn't have the make of the sewing machine like mine has on it. I don't remember seeing the pedal at the floor, but I walked around the front and pulled some of the drawers open. There were papers and stuff in there. At that point, the second young man came back out. I said, sorry, I'm just really interested in antiques. I have an antique sewing machine, but this one is larger and I was somewhat intrigued by it. He said, oh, that's okay.",elizabeth.tsv,(????-??-??),-0.14441095,0.14987305
2,"I was still living on Lakeland Dr. It was winter and snowing. There were a couple of inches on the ground. It was night and I had to distribute the mail to everyone on our street. As I was sorting out the mail for one home. A young man, about 25-30 years old, asked if he could help. I said no but he insisted. Shortly after Connie B and one of her kids joined us. We had some difficulty sorting the mail and had a discussion about one piece that belonged to me.",elizabeth.tsv,(1991-01-31),-0.15245439,0.052267656
4,"I went to visit Tim W at WDF. When I arrived, they had made many changes including how to get in. I had to enter one side of the building, climb up and across a wall that had many tools hanging on it. It was a big empty room and there were two men receiving tennis lessons. As I finally made it halfway across the wall, one of the men showed me an easier way to get to the entrance. I went up two flights of stairs and entered the door. It brought me into the company breakroom. I noticed a group of people at one table that included Freda L, Jeff L, and Susan J. They didn't even say hello. I tried to sit down with them and someone made a comment about me taking up too much room. I got up to leave. Then Susan J asked what was wrong. I said no one even said hello. She got up to go with me. She took me on a tour of the new plant. Her area was a special project she was experimenting with. It involved raising African Violets and using the petals to create dyes for fabrics. I then went on without her as she started watering her plants. In the next part of the plant they were showing me how they were testing this dye to create prints on fabrics. One of the people painting was the attorney who shops at NTNS. Now they're using these dyes and this process on people's hair. I was very frustrated with how they were doing it. It was all I could do to keep from saying something. Then they convinced me to let them do my hair. I finally spotted Tim W but he was with his boss. I realized I wouldn't be able to talk with him. As I left, I went back thru the employee breakroom and was spotted by Marcia N. I didn't especially want to see her. She came up to me and spoke briefly. It was much easier getting out of the building than it was getting in.",elizabeth.tsv,(1991-02-02),-0.27372116,0.018945713
5,"I was asking someone to do the remodel at the store. I was worried that if the committee followed my advice and went with the lowest quote that they wouldn't work out. It turned out to include Cliff S and Don St. I kept reassuring the committee that it was going to be great because I know these men. I told the men that my job and reputation were riding on this and the work had to be good. I kept remembering when Cliff S and I had a crush on each other in the eighth grade. The building they were remodeling was now a church. We started the work without approval. When the committee came by, they thought it looked great. The carpet went clear up the walls in some places. In one place, they had a huge multi-level flower cut into the carpet. It looked great.",elizabeth.tsv,(1992-??-??),-0.20706628,0.15047584
6,"I was the owner of a new restaurant. I was going around to the tables asking the patrons if everything was okay. At one table were two men. I sat down with some friends at a nearby table and could overhear their conversation. One asked the other what he thought of me and his answer was, ""Magnificent."" When they got up to leave, he came by our table to say thank you and shake my hand. After shaking my hand, he held it for a few seconds. I was having trouble with some of the employees not getting along with each other. They wanted to quit because of that and/or because of changes at the restaurant. Through conversations, they all convinced themselves to stay. There was some problem with the customers. We were serving too slowly. We also rectified that situation.",elizabeth.tsv,(1992-02-13),-0.21964757,0.12062815
11,"I was on a houseboat, fishing and doing laundry. I was joined by some friends and we decided to have a contest. I caught the first two fish. Someone else was doing the laundry. I kept urging them to work faster, as if it had something to do with the fishing contest.",elizabeth.tsv,(1993-02-27),-0.03718419,0.17151372
13,"I was working for NTNS but we were in a huge warehouse. I had been cleaning up and organizing. I found some racks with children's clothing so I rolled them over to the children's section intending to transfer them later. When I went back to do it, Darren was there doing it. I went on cleaning up. I was finding lots of racks with wheels that we didn't know we had. I ran into a stock boy also cleaning up, moving things, and throwing things away. We had a discussion about why they had saved all this stuff. I was then approached by one of the committee chairs about a problem. It seems someone had given two families a very large amount of clothing free and used my name. I tried to tell her I didn't do it. I finally found out that Darren and Angie Ho were responsible for one and a woman named Debbie [unknown in waking life] the other. Darren and Angie were operating as an independent agency helping the underprivileged. They helped themselves to our stock. They did have an office our building. Even after we told Angie Ho she couldn't do this, she continued under a disguise and alias. I finally caught her and turned her in. Also, she was posing as a government employee giving advice on raising and caring for children. I reported her as unqualified and mentioned that BJ would be great for this kind of work. The committee chair still did not believe me. We found Debbie, but it was her word against mine and the committee chair believed her. I found many different rooms on different levels, piled with boxes full of supplies, racks, etc. I also wound my way around an upstairs workroom and back out again.",elizabeth.tsv,(1993-02-28),-0.32683304,0.010139042
24,"I was with someone in a store kind of like a Kmart. I don't know who I was with but they were shopping in a different part of the store. I was looking for plastic storage containers. I wanted to see how much they were or if they were on sale. When I got to the aisle where the storage containers were they were many sale signs hanging by them on the back wall of the shelving unit. I remember seeing one that made me think they were on sale for $5 and some cents. The signs were hanging next to the containers rather than in front of or over or under the containers, as would normally be the case in a store. There were actually no products for sale under or over the signs. I remember thinking this is a great price. The containers were clear, frosted kind of look, with blue lids. They were rather large, like 5 gallon size perhaps but rectangular. I decided to look more closely at the signs and realized that all of the sale signs were for personal care products that weren't even in that aisle. They were hanging in layers on top of each other but maybe four or five across also. I thought to myself, ah, the employee who was supposed to hang these probably didn't want to do it so hung them all here just to say the job was done. I went to find a manager to tell them about it. I found a young man, though I don't know if he was a manager or not, and told him about the signs. I walked back to the location with him. When we got there, an employee had just finished filling that spot with Tampons. I get a sense that he put the tampons there but I'm not sure. The tampons were piled so high that they hid the sale signs completely. The man I brought back to show them to somehow looked behind the tampons and saw the signs. As I walked away, he was using a hammer to loosen the shelf above the tampons/containers/signs. I thought that he was doing that so he could get to the signs to remove them. The next thing I remember is that I was still in the same store but I was looking at clothing. As I was looking, I encountered a woman acquaintance. I say acquaintance because I don't know who she was. I get the sense that she was someone that I was not particularly fond of. I chatted with her a bit; she was just standing around waiting for someone she was with who was shopping. I selected a few items and went to the dressing room to try them on. As I returned from the dressing room, I went by the men's dressing rooms. They were all full. While I could not see any of the men in the room, I got the sense that one man was completely naked and I could see pubic hair, nothing else. I felt embarrassed and tried to hurry by. Some men looked at me as though they thought I worked here. I remember thinking to myself that I have spent too much time working in retail, because my past work in retail affects my shopping experiences, related to things like the sale signs. Now these men think I work here. They were trying on sports coats. I commented to both of them that they looked great. They were both black men. The one seemed very happy that I told him he looked great. He said something to the other man as I walked away. I don't know what he said. I went back to where I got the clothes I had just tried on. The woman acquaintance was still there. She was kind of leaning on a circular rack full of clothing. I approached her again; I think to put the clothes back that I had just tried on. She was standing so close to the rack that she was somewhat in between the clothes on the rack. I started talking with her again. It seems that we were talking about a mutual acquaintance. I don't really remember, except that she made some comment about alcoholism and I asked her if she was an alcoholic. She said yes. I am now walking around the store pushing a shopping cart and at the same time trying to carry a large metal ladder. I can't remember why I had the ladder. It also seems to me that there was nothing in the shopping cart. I have been called to the manager's office. When I walk in there are two male management members and one female. I remember nothing about the female. The one male did all of the talking and the other male, who seemed to be his superior kept fidgeting in his chair and turning his back to me through the whole conversation. The male who did all of the talking was the actor who used to play Judge Harry Stone on night court. He began by saying they wanted to discuss a few things with me. They handed me a list and began to go over the list. The list was typed on rather dark, brown, very heavy stock paper. I wondered to myself why they had chosen this because you could hardly read what was typed on it. The first things they discussed were very general and did not appear odd to me. I was cordial and making light, comments to evoke smiles or chuckles as the conversation began. They said they had been watching me on camera that afternoon. I think that it was at this point that I determined that they were terminating my employment. I looked at Harry and said, you are accusing me of stealing aren't you. He said, you bet we are! I realized we all had the brown pages and they were in a binder with a rather large number of other pages though the others were all white. I told him I wanted him to put that in writing, on one of the white pages. He said gladly. He and I started flipping through the white pages. It was as though he wanted to pick a certain page to write it on. I didn't care; I just wanted it in writing. I was so very angry. I had stood up at this point and was talking very loudly and angrily at him while pointing to the book and asking him to put that in writing.",elizabeth.tsv,(1999-06-12),-0.090036236,0.32628915
