id,Keywords,how many dreams,how many dreamers,how many words
40,"man, woman, comes, feel, walk, want, try, ask, young, tell",3120,0,680613
7,"kind, really, little, thing, mom, stuff, dad, things, laugh, sound",2025,0,682272
48,"mom, ezra, dad, darren, nana, home, stuff, house, thing, called",1841,0,187753
3,"office, people, time, working, wasn, way, trying, work, talking, kind",1762,0,557110
29,"hill, road, walk, feet, huge, walking, high, city, large, water",1372,0,228835
22,"girl, watching, movie, guy, talking, sam, liked, kissed, watched, later",1189,0,140706
31,"group, tell, mary, people, woman, talk, ask, audience, want, women",1164,0,172426
11,"eugene, school, teacher, class, calvin, evelyn, darius, sat, talking, people",1155,0,126217
28,"car, mom, guy, drove, ezra, girl, road, left, ran, took",1055,0,237590
5,"ran, people, zombies, outside, door, girl, away, trying, tried, running",1052,0,249645
49,"things, book, paper, box, pictures, picture, stuff, read, writing, books",1018,0,142579
23,"plane, fly, flying, walked, away, man, bob, big, ann, took",1016,0,159486
36,"guy, guys, people, bad, gun, shot, girl, killed, ran, place",986,0,157319
32,"house, room, living, maybe, things, rooms, matthew, outside, right, way",970,0,228721
39,"calvin, people, thing, samantha, dmitri, school, later, stuff, place, elijah",951,0,110022
34,"mom, people, guy, ezra, dad, room, thing, called, mark, left",919,0,190856
1,"wearing, white, dress, room, black, dressed, blue, red, hair, pants",806,0,89006
19,"room, floor, people, left, dawson, hotel, later, benjamin, lights, light",791,0,132255
2,"people, sort, little, place, come, nice, want, big, looks, somebody",781,0,217184
17,"age, questions, answers, code, interpretation, participant, actual, pleasant, unpleasant, feeling",763,0,127963
15,"house, brother, sister, mother, father, parents, old, family, friend, girl",742,0,98165
33,"building, people, tree, thing, place, roof, kill, trying, fight, evil",653,0,63399
46,"love, feel, sex, want, cat, make, howard, sad, leave, sexual",625,0,67360
24,"sort, husband, wife, little, stairs, man, daughter, place, way, girl",620,0,182678
27,"girls, day, apartment, home, years, night, old, girl, friends, ago",604,0,64970
37,"mother, doctor, boyfriend, post, jeremy, horse, campus, grandma, grad, paul",602,0,68869
41,"door, room, bathroom, open, toilet, shower, opened, doors, closed, window",585,0,81535
16,"truck, fish, fishing, wally, ramona, annie, mike, mom, friend, big",556,0,103307
50,"setting, characters, really, friend, feelings, happy, friends, thoughts, scared, grader",530,0,56470
47,"bag, lady, guy, people, thing, place, called, cool, allowed, drugs",519,0,66313
45,"street, house, police, window, coming, home, door, hit, people, outside",511,0,76572
35,"money, job, getting, lunch, counter, pay, people, table, new, gave",510,0,57522
13,"bed, sleep, room, hospital, sleeping, bedroom, asleep, lying, night, beds",501,0,52498
30,"shop, hair, clothes, shirt, thing, girl, section, mom, lady, james",497,0,63096
6,"train, friend, stephen, kevin, station, tracks, walk, people, tell, friends",485,0,68041
44,"water, pool, boat, swimming, lake, swim, bridge, snake, river, bear",458,0,55793
43,"class, teacher, students, college, school, student, classes, time, classroom, teaching",458,0,68487
9,"baby, boy, church, children, frank, child, girl, little, teeth, old",432,0,38937
12,"test, time, phone, answer, coffee, question, clock, number, barn, air",413,0,48108
10,"game, playing, play, elevator, ball, john, team, men, race, field",404,0,41812
21,"car, driving, drive, road, seat, cars, parked, driver, stop, turn",388,0,47870
42,"dog, father, blood, snow, dead, andrew, dogs, van, true, garage",326,0,28818
18,"beach, walking, home, car, island, sand, band, chris, houses, lot",322,0,37983
8,"party, aunt, uncle, birthday, family, cousin, house, people, dwight, camera",314,0,31908
38,"bus, eat, food, eating, table, seat, plate, driver, stop, place",300,0,34257
4,"crying, exam, tried, mirror, monster, ted, fell, cabin, bath, kept",296,0,30822
20,"music, song, singing, playing, michael, restaurant, radio, sing, time, dora",262,0,25782
25,"school, high, dance, ice, cream, grade, classmate, gym, people, friend",230,0,17951
14,"store, buy, shoes, shopping, milk, grocery, jack, bought, manager, cart",181,0,18418
26,"movie, park, slide, theater, watch, kitten, star, seats, director, movies",163,0,14775
